TRUCK_ID,MENU_TYPE_ID,PRIMARY_CITY,REGION,ISO_REGION,COUNTRY,ISO_COUNTRY_CODE,FRANCHISE_FLAG,YEAR,MAKE,MODEL,EV_FLAG,FRANCHISE_ID,TRUCK_OPENING_DATE,TRUCK_AGE
109,4,Montreal,Quebec,QC,Canada,CA,1,2008,Custom,Box Truck,0,84,2020-01-01,1
110,5,Montreal,Quebec,QC,Canada,CA,1,2000,Freightliner,MT45 Utilimaster,0,85,2021-04-01,1
112,7,Montreal,Quebec,QC,Canada,CA,1,1974,Volkswagen,Westfalia Bus,1,87,2022-01-01,1
114,9,Montreal,Quebec,QC,Canada,CA,1,2007,Custom,Box Truck,1,88,2022-04-01,1
115,10,Montreal,Quebec,QC,Canada,CA,1,2002,Freightliner,MT45 Utilimaster,0,89,2021-10-01,1
116,11,Montreal,Quebec,QC,Canada,CA,1,1997,Chevrolet,P30,0,90,2020-01-01,1
117,12,Montreal,Quebec,QC,Canada,CA,1,2001,Freightliner,MT45 Utilimaster,0,91,2021-04-01,1
118,13,Montreal,Quebec,QC,Canada,CA,1,2002,Freightliner,MT45 Utilimaster,1,91,2022-04-01,1
120,15,Montreal,Quebec,QC,Canada,CA,1,2008,Custom,Van,1,93,2022-01-01,1
124,4,London,Greater London,Greater London,England,GB,1,2001,Freightliner,MT45 Utilimaster,1,95,2022-01-01,1
128,8,London,Greater London,Greater London,England,GB,1,2001,Freightliner,MT45 Utilimaster,0,99,2020-07-01,1
130,10,London,Greater London,Greater London,England,GB,1,1997,Chevrolet,P30,1,100,2022-04-01,1
131,11,London,Greater London,Greater London,England,GB,1,2010,Custom,Van,0,101,2020-01-01,1
132,12,London,Greater London,Greater London,England,GB,1,2001,Freightliner,MT45 Utilimaster,1,102,2022-01-01,1
135,15,London,Greater London,Greater London,England,GB,1,2004,Freightliner,MT45 Utilimaster,0,104,2021-01-01,1
136,1,Manchester,Greater Manchester,Greater Manchester,England,GB,1,1972,Volkswagen,Westfalia Bus,1,105,2022-04-01,1
138,3,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2004,Freightliner,MT45 Utilimaster,0,107,2021-01-01,1
139,4,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2000,Freightliner,MT45 Utilimaster,0,108,2021-04-01,1
140,5,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2008,Custom,Van,0,109,2020-07-01,1
144,9,Manchester,Greater Manchester,Greater Manchester,England,GB,1,1999,Chevrolet,P30,0,111,2021-01-01,1
146,11,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2004,Freightliner,MT45 Utilimaster,1,112,2022-01-01,1
147,12,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2004,Freightliner,MT45 Utilimaster,1,112,2022-07-01,1
149,14,Manchester,Greater Manchester,Greater Manchester,England,GB,1,1999,Chevrolet,P30,1,114,2022-01-01,1
151,1,Paris,Île-de-France,Paris,France,FR,1,2008,Custom,Van,1,116,2022-01-01,1
155,5,Paris,Île-de-France,Paris,France,FR,1,2005,Freightliner,MT45 Utilimaster,1,120,2022-01-01,1
156,6,Paris,Île-de-France,Paris,France,FR,1,2005,Freightliner,MT45 Utilimaster,0,120,2021-01-01,1
157,7,Paris,Île-de-France,Paris,France,FR,1,2010,Airstream,Trailer,0,121,2021-10-01,1
158,8,Paris,Île-de-France,Paris,France,FR,1,2005,Freightliner,MT45 Utilimaster,1,120,2022-07-01,1
160,10,Paris,Île-de-France,Paris,France,FR,1,2005,Freightliner,MT45 Utilimaster,1,120,2022-01-01,1
162,12,Paris,Île-de-France,Paris,France,FR,1,2018,Nissan,NV 2500 High Roof,0,121,2021-07-01,1
163,13,Paris,Île-de-France,Paris,France,FR,1,2005,Freightliner,MT45 Utilimaster,1,120,2022-01-01,1
164,14,Paris,Île-de-France,Paris,France,FR,1,2005,Freightliner,MT45 Utilimaster,0,120,2021-04-01,1
165,15,Paris,Île-de-France,Paris,France,FR,1,2001,Freightliner,MT45 Utilimaster,1,123,2022-01-01,1
166,1,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2001,Freightliner,MT45 Utilimaster,0,123,2021-10-01,1
168,3,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,1999,Chevrolet,P30,1,125,2022-01-01,1
171,6,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2010,Airstream,Trailer,0,127,2020-04-01,1
172,7,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2005,Freightliner,MT45 Utilimaster,0,128,2021-07-01,1
173,8,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2005,Freightliner,MT45 Utilimaster,0,128,2021-01-01,1
174,9,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2010,Airstream,Trailer,0,129,2020-10-01,1
175,10,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2001,Freightliner,MT45 Utilimaster,1,130,2022-04-01,1
176,11,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2001,Freightliner,MT45 Utilimaster,0,130,2021-10-01,1
178,13,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2001,Freightliner,MT45 Utilimaster,1,131,2022-07-01,1
180,15,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2010,Airstream,Trailer,0,133,2021-01-01,1
181,1,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2005,Freightliner,MT45 Utilimaster,0,134,2022-04-01,1
186,6,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,1999,Chevrolet,P30,1,136,2022-01-01,1
188,8,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2001,Freightliner,MT45 Utilimaster,0,138,2021-04-01,1
189,9,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2003,Freightliner,MT45 Utilimaster,0,139,2020-10-01,1
190,10,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2003,Freightliner,MT45 Utilimaster,0,138,2021-07-01,1
191,11,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2001,Freightliner,MT45 Utilimaster,0,139,2020-01-01,1
192,12,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,1999,Chevrolet,P30,1,140,2022-04-01,1
194,14,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,1974,Volkswagen,Westfalia Bus,0,141,2021-10-01,1
196,1,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2000,Freightliner,MT45 Utilimaster,0,143,2022-01-01,1
199,4,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2001,Freightliner,MT45 Utilimaster,0,145,2021-10-01,1
200,5,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2005,Freightliner,MT45 Utilimaster,0,146,2020-01-01,1
202,7,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2000,Freightliner,MT45 Utilimaster,0,148,2021-04-01,1
203,8,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2011,Airstream,Trailer,0,149,2021-01-01,1
205,10,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2000,Freightliner,MT45 Utilimaster,0,151,2020-07-01,1
206,11,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2000,Freightliner,MT45 Utilimaster,0,151,2022-04-01,1
207,12,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2011,Airstream,Trailer,0,152,2021-01-01,1
209,14,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2010,Custom,Van,0,153,2021-10-01,1
210,15,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,1999,Chevrolet,P30,0,154,2021-01-01,1
211,1,Mumbai,Maharashtra,Maharashtra,India,IN,1,2009,Freightliner,MT45 Utilimaster,1,155,2022-04-01,1
212,2,Mumbai,Maharashtra,Maharashtra,India,IN,1,2009,Freightliner,MT45 Utilimaster,1,155,2022-01-01,1
213,3,Mumbai,Maharashtra,Maharashtra,India,IN,1,2009,Freightliner,MT45 Utilimaster,1,155,2020-01-01,1
215,5,Mumbai,Maharashtra,Maharashtra,India,IN,1,2006,Freightliner,MT45 Utilimaster,0,157,2020-04-01,1
216,6,Mumbai,Maharashtra,Maharashtra,India,IN,1,2006,Freightliner,MT45 Utilimaster,0,157,2021-01-01,1
217,7,Mumbai,Maharashtra,Maharashtra,India,IN,1,2000,Freightliner,MT45 Utilimaster,1,158,2022-01-01,1
218,8,Mumbai,Maharashtra,Maharashtra,India,IN,1,2011,Airstream,Trailer,0,159,2020-07-01,1
219,9,Mumbai,Maharashtra,Maharashtra,India,IN,1,1972,Volkswagen,Westfalia Bus,1,160,2022-01-01,1
220,10,Mumbai,Maharashtra,Maharashtra,India,IN,1,1999,Chevrolet,P30,1,161,2022-04-01,1
221,11,Mumbai,Maharashtra,Maharashtra,India,IN,1,2008,Custom,Box Truck,0,162,2021-01-01,1
222,12,Mumbai,Maharashtra,Maharashtra,India,IN,1,2005,Freightliner,MT45 Utilimaster,0,163,2020-07-01,1
223,13,Mumbai,Maharashtra,Maharashtra,India,IN,1,1997,Chevrolet,P30,1,164,2022-01-01,1
225,15,Mumbai,Maharashtra,Maharashtra,India,IN,1,1997,Chevrolet,P30,1,165,2022-07-01,1
226,1,Delhi,Delhi,Delhi,India,IN,1,2001,Freightliner,MT45 Utilimaster,1,167,2022-04-01,1
228,3,Delhi,Delhi,Delhi,India,IN,1,2004,Freightliner,MT45 Utilimaster,0,169,2020-07-01,1
229,4,Delhi,Delhi,Delhi,India,IN,1,2009,Freightliner,MT45 Utilimaster,1,170,2022-01-01,1
230,5,Delhi,Delhi,Delhi,India,IN,1,2004,Freightliner,MT45 Utilimaster,0,169,2021-10-01,1
231,6,Delhi,Delhi,Delhi,India,IN,1,2009,Freightliner,MT45 Utilimaster,1,170,2020-01-01,1
233,8,Delhi,Delhi,Delhi,India,IN,1,2004,Freightliner,MT45 Utilimaster,0,172,2020-07-01,1
234,9,Delhi,Delhi,Delhi,India,IN,1,1997,Chevrolet,P30,0,173,2021-01-01,1
235,10,Delhi,Delhi,Delhi,India,IN,1,2015,Airstream,Trailer,0,174,2022-04-01,1
236,11,Delhi,Delhi,Delhi,India,IN,1,2003,Freightliner,MT45 Utilimaster,0,175,2021-10-01,1
237,12,Delhi,Delhi,Delhi,India,IN,1,2008,Custom,Van,0,176,2020-10-01,1
238,13,Delhi,Delhi,Delhi,India,IN,1,1999,Chevrolet,P30,0,177,2021-07-01,1
239,14,Delhi,Delhi,Delhi,India,IN,1,2003,Freightliner,MT45 Utilimaster,0,178,2020-01-01,1
242,2,Tokyo,Kantō,Tokyo,Japan,JP,1,1997,Chevrolet,P30,0,179,2020-04-01,1
243,3,Tokyo,Kantō,Tokyo,Japan,JP,1,2010,Custom,Van,1,180,2022-01-01,1
247,7,Tokyo,Kantō,Tokyo,Japan,JP,1,2005,Freightliner,MT45 Utilimaster,1,182,2022-01-01,1
248,8,Tokyo,Kantō,Tokyo,Japan,JP,1,2000,Freightliner,MT45 Utilimaster,0,183,2021-07-01,1
249,9,Tokyo,Kantō,Tokyo,Japan,JP,1,2004,Freightliner,MT45 Utilimaster,0,184,2021-04-01,1
250,10,Tokyo,Kantō,Tokyo,Japan,JP,1,2010,Custom,Van,0,185,2020-01-01,1
251,11,Tokyo,Kantō,Tokyo,Japan,JP,1,2005,Freightliner,MT45 Utilimaster,1,186,2022-01-01,1
1,1,San Mateo,California,CA,United States,US,0,2009,Ford,Step Van,0,1,2019-01-01,1
2,2,San Mateo,California,CA,United States,US,0,2015,Ford,Step Van,0,1,2020-07-01,1
10,10,San Mateo,California,CA,United States,US,1,2009,Ford,Step Van,0,9,2021-10-01,1
11,11,San Mateo,California,CA,United States,US,1,2013,Ford,Step Van,0,10,2020-01-01,1
17,2,Denver,Colorado,CO,United States,US,0,2015,Ford,Step Van,0,1,2019-04-01,1
21,6,Denver,Colorado,CO,United States,US,0,2015,Ford,Step Van,0,1,2019-04-01,1
22,7,Denver,Colorado,CO,United States,US,1,2013,Ford,Step Van,1,18,2022-01-01,1
25,10,Denver,Colorado,CO,United States,US,1,2013,Ford,Step Van,0,21,2021-07-01,1
33,3,Seattle,Washington,WA,United States,US,0,2013,Ford,Step Van,0,1,2019-10-01,1
36,6,Seattle,Washington,WA,United States,US,1,2014,Ford,Step Van,0,29,2021-04-01,1
37,7,Seattle,Washington,WA,United States,US,1,2010,Ford,Step Van,0,30,2021-07-01,1
39,9,Seattle,Washington,WA,United States,US,1,2010,Ford,Step Van,0,32,2020-07-01,1
43,13,Seattle,Washington,WA,United States,US,1,2014,Ford,Step Van,0,36,2021-07-01,1
44,14,Seattle,Washington,WA,United States,US,1,2010,Ford,Step Van,0,37,2021-10-01,1
46,1,Boston,Massachusetts,MA,United States,US,1,2014,Ford,Step Van,0,36,2021-01-01,1
47,2,Boston,Massachusetts,MA,United States,US,1,2010,Ford,Step Van,0,37,2020-07-01,1
49,4,Boston,Massachusetts,MA,United States,US,0,2013,Ford,Step Van,1,1,2021-04-01,1
52,7,Boston,Massachusetts,MA,United States,US,1,2015,Ford,Step Van,0,42,2021-07-01,1
53,8,Boston,Massachusetts,MA,United States,US,1,2013,Ford,Step Van,0,43,2021-10-01,1
56,11,Boston,Massachusetts,MA,United States,US,1,2015,Ford,Step Van,1,46,2022-04-01,1
57,12,Boston,Massachusetts,MA,United States,US,1,2013,Ford,Step Van,0,46,2021-07-01,1
60,15,Boston,Massachusetts,MA,United States,US,1,2014,Ford,Step Van,0,49,2020-10-01,1
61,1,New York City,New York,NY,United States,US,1,2013,Ford,Step Van,0,49,2021-01-01,1
64,4,New York City,New York,NY,United States,US,1,2009,Ford,Step Van,0,52,2021-01-01,1
65,5,New York City,New York,NY,United States,US,0,2013,Ford,Step Van,1,1,2022-01-01,1
67,7,New York City,New York,NY,United States,US,1,2009,Ford,Step Van,0,54,2020-01-01,1
68,8,New York City,New York,NY,United States,US,1,2010,Ford,Step Van,0,54,2021-04-01,1
69,9,New York City,New York,NY,United States,US,1,2009,Ford,Step Van,0,54,2021-10-01,1
71,11,New York City,New York,NY,United States,US,1,2013,Ford,Step Van,0,56,2020-10-01,1
75,15,New York City,New York,NY,United States,US,1,2009,Ford,Step Van,0,60,2021-04-01,1
80,5,Toronto,Ontario,ON,Canada,CA,1,2014,Ford,Step Van,1,63,2022-01-01,1
81,6,Toronto,Ontario,ON,Canada,CA,0,2009,Ford,Step Van,0,1,2019-01-01,1
82,7,Toronto,Ontario,ON,Canada,CA,1,2009,Ford,Step Van,1,63,2022-04-01,1
86,11,Toronto,Ontario,ON,Canada,CA,1,2009,Ford,Step Van,1,66,2022-04-01,1
87,12,Toronto,Ontario,ON,Canada,CA,1,2009,Ford,Step Van,1,66,2020-01-01,1
90,15,Toronto,Ontario,ON,Canada,CA,1,2009,Ford,Step Van,0,69,2021-01-01,1
91,1,Vancouver,British Columbia,BC,Canada,CA,1,2007,Ford,Step Van,0,70,2021-04-01,1
97,7,Vancouver,British Columbia,BC,Canada,CA,0,2009,Ford,Step Van,0,1,2019-01-01,1
98,8,Vancouver,British Columbia,BC,Canada,CA,1,2012,Ford,Step Van,0,76,2021-10-01,1
100,10,Vancouver,British Columbia,BC,Canada,CA,0,2009,Ford,Step Van,0,1,2019-04-01,1
105,15,Vancouver,British Columbia,BC,Canada,CA,1,2009,Ford,Step Van,0,81,2021-01-01,1
106,1,Montreal,Quebec,QC,Canada,CA,1,2007,Ford,Step Van,1,81,2022-01-01,1
111,6,Montreal,Quebec,QC,Canada,CA,1,2009,Ford,Step Van,0,86,2021-10-01,1
113,8,Montreal,Quebec,QC,Canada,CA,0,2009,Ford,Step Van,0,1,2019-01-01,1
119,14,Montreal,Quebec,QC,Canada,CA,1,2009,Ford,Step Van,0,92,2021-10-01,1
121,1,London,Greater London,Greater London,England,GB,1,2014,Ford,Step Van,1,94,2022-04-01,1
122,2,London,Greater London,Greater London,England,GB,1,2007,Ford,Step Van,0,94,2020-10-01,1
123,3,London,Greater London,Greater London,England,GB,1,2014,Ford,Step Van,1,94,2021-10-01,1
125,5,London,Greater London,Greater London,England,GB,1,2014,Ford,Step Van,0,96,2020-10-01,1
126,6,London,Greater London,Greater London,England,GB,1,2007,Ford,Step Van,1,97,2022-01-01,1
127,7,London,Greater London,Greater London,England,GB,1,2014,Ford,Step Van,0,98,2021-04-01,1
129,9,London,Greater London,Greater London,England,GB,0,2010,Ford,Step Van,1,1,2021-10-01,1
133,13,London,Greater London,Greater London,England,GB,1,2010,Ford,Step Van,0,103,2021-10-01,1
134,14,London,Greater London,Greater London,England,GB,1,2009,Ford,Step Van,1,103,2022-04-01,1
137,2,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2009,Ford,Step Van,0,106,2020-07-01,1
141,6,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2014,Ford,Step Van,1,110,2022-10-01,1
142,7,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2014,Ford,Step Van,1,110,2022-01-01,1
143,8,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2014,Ford,Step Van,1,110,2021-07-01,1
145,10,Manchester,Greater Manchester,Greater Manchester,England,GB,0,2010,Ford,Step Van,0,1,2019-04-01,1
148,13,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2014,Ford,Step Van,0,113,2020-07-01,1
150,15,Manchester,Greater Manchester,Greater Manchester,England,GB,1,2010,Ford,Step Van,0,115,2020-04-01,1
152,2,Paris,Île-de-France,Paris,France,FR,1,2014,Ford,Step Van,0,117,2021-01-01,1
153,3,Paris,Île-de-France,Paris,France,FR,1,2007,Ford,Step Van,1,118,2022-04-01,1
154,4,Paris,Île-de-France,Paris,France,FR,1,2014,Ford,Step Van,0,119,2020-10-01,1
159,9,Paris,Île-de-France,Paris,France,FR,1,2014,Ford,Step Van,0,122,2021-04-01,1
161,11,Paris,Île-de-France,Paris,France,FR,0,2012,Ford,Step Van,0,1,2020-10-01,1
167,2,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2014,Ford,Step Van,0,124,2020-10-01,1
169,4,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2012,Ford,Step Van,1,126,2022-01-01,1
170,5,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2014,Ford,Step Van,1,1,2021-10-01,1
177,12,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,0,2012,Ford,Step Van,0,1,2020-01-01,1
179,14,Nice,Provence–Alpes–Côte-d'Azur,Alpes-Maritimes,France,FR,1,2009,Ford,Step Van,0,132,2020-10-01,1
182,2,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2010,Ford,Step Van,1,135,2021-01-01,1
183,3,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2010,Ford,Step Van,1,135,2022-01-01,1
184,4,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2010,Ford,Step Van,1,135,2020-10-01,1
185,5,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2010,Ford,Step Van,1,135,2021-07-01,1
187,7,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2012,Ford,Step Van,0,137,2020-01-01,1
193,13,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,0,2012,Ford,Step Van,0,1,2019-01-01,1
195,15,Warsaw,Mazowieckie województwo,Masovian,Poland,PL,1,2012,Ford,Step Van,0,142,2020-07-01,1
197,2,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2012,Ford,Step Van,1,144,2022-04-01,1
198,3,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2012,Ford,Step Van,1,144,2020-07-01,1
201,6,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2008,Ford,Step Van,0,147,2021-10-01,1
204,9,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,1,2012,Ford,Step Van,1,150,2022-07-01,1
208,13,Krakow,Małopolskie województwo,Lesser Poland,Poland,PL,0,2012,Ford,Step Van,0,1,2020-07-01,1
214,4,Mumbai,Maharashtra,Maharashtra,India,IN,1,2009,Ford,Step Van,1,156,2022-07-01,1
224,14,Mumbai,Maharashtra,Maharashtra,India,IN,0,2012,Ford,Step Van,0,1,2019-01-01,1
227,2,Delhi,Delhi,Delhi,India,IN,1,2014,Ford,Step Van,0,168,2021-01-01,1
